date,number3,number4
2003-05-19,254,4212
2003-05-21,183,2522
2003-05-23,280,2028
2003-05-26,400,5082
2003-05-28,617,1602
2003-05-30,581,8666
2003-06-02,020,3335
2003-06-04,271,8685
2003-06-06,170,2679
2003-06-09,493,1228
2003-06-11,608,7137
2003-06-13,441,1744
2003-06-16,996,8604
2003-06-18,889,6048
2003-06-20,044,9833
2003-06-23,346,6929
2003-06-25,903,5863
2003-06-27,609,7605
2003-06-30,749,0714
2003-07-02,342,7113
2003-07-04,422,7239
2003-07-07,184,2016
2003-07-09,865,4960
2003-07-11,463,7781
2003-07-14,556,0837
2003-07-16,269,0027
2003-07-18,664,9529
2003-07-21,686,6336
2003-07-23,438,4712
2003-07-25,416,0625
2003-07-28,897,6610
2003-07-30,695,7564
2003-08-01,547,9841
2003-08-04,152,3177
2003-08-06,944,4544
2003-08-08,957,9572
2003-08-11,459,3718
2003-08-13,989,3238
2003-08-15,820,1696
2003-08-18,766,5878
2003-08-20,943,1315
2003-08-22,958,0984
2003-08-25,160,5740
2003-08-27,612,7034
2003-08-29,162,1360
2003-09-01,304,5048
2003-09-03,638,6047
2003-09-05,415,4954
2003-09-08,911,0071
2003-09-10,979,0182
2003-09-12,221,0563
2003-09-15,279,3991
2003-09-17,933,7137
2003-09-19,825,7744
2003-09-22,118,1413
2003-09-24,496,8030
2003-09-26,267,1642
2003-09-29,784,2308
2003-10-01,495,5404
2003-10-03,913,1605
2003-10-06,337,0923
2003-10-08,953,4475
2003-10-10,899,6685
2003-10-13,842,3409
2003-10-15,274,7871
2003-10-17,260,6084
2003-10-20,317,3940
2003-10-22,738,8185
2003-10-24,796,3040
2003-10-27,235,3780
2003-10-29,885,5559
2003-10-31,852,5559
2003-11-03,891,2412
2003-11-05,348,8090
2003-11-07,798,4057
2003-11-10,930,8444
2003-11-12,175,6880
2003-11-14,622,8823
2003-11-17,651,8984
2003-11-19,704,3745
2003-11-21,518,6272
2003-11-24,054,5603
2003-11-26,504,9810
2003-11-28,455,5555
2003-12-01,276,2167
2003-12-03,106,0498
2003-12-05,936,3325
2003-12-08,353,3251
2003-12-10,058,4422
2003-12-12,958,6998
2003-12-15,080,8943
2003-12-17,239,6815
2003-12-19,188,4037
2003-12-22,606,5815
2003-12-24,021,6039
2003-12-26,724,2389
2003-12-29,471,3399
2004-01-05,491,7138
2004-01-07,669,2324
2004-01-09,409,0083
2004-01-12,884,8351
2004-01-14,121,2185
2004-01-16,445,9722
2004-01-19,136,7337
2004-01-21,004,9483
2004-01-23,320,1255
2004-01-26,068,2981
2004-01-28,337,1995
2004-01-30,281,1915
2004-02-02,427,3824
2004-02-04,869,0982
2004-02-06,777,3879
2004-02-09,465,5122
2004-02-11,583,9807
2004-02-13,822,1085
2004-02-16,040,5011
2004-02-18,204,2421
2004-02-20,513,8813
2004-02-23,990,7244
2004-02-25,119,2282
2004-02-27,051,9108
2004-03-01,745,4516
2004-03-03,030,9473
2004-03-05,407,7764
2004-03-08,162,4750
2004-03-10,517,2608
2004-03-12,725,8834
2004-03-15,000,4747
2004-03-17,558,2914
2004-03-19,170,9396
2004-03-22,893,3413
2004-03-24,526,0769
2004-03-26,174,0318
2004-03-29,211,7766
2004-03-31,590,0322
2004-04-02,820,7623
2004-04-05,189,3979
2004-04-07,330,2670
2004-04-09,308,9082
2004-04-12,936,2356
2004-04-14,563,4380
2004-04-16,900,7587
2004-04-19,733,4544
2004-04-21,374,8455
2004-04-23,842,7481
2004-04-26,922,5337
2004-04-28,764,7896
2004-04-30,671,1363
2004-05-03,653,6771
2004-05-05,758,5083
2004-05-07,953,8384
2004-05-10,737,4798
2004-05-12,308,0865
2004-05-14,567,5525
2004-05-17,452,7559
2004-05-19,490,0319
2004-05-21,784,5282
2004-05-24,302,4105
2004-05-26,855,7807
2004-05-28,226,1070
2004-05-31,673,5972
2004-06-02,215,0807
2004-06-04,376,0295
2004-06-07,554,1508
2004-06-09,076,2059
2004-06-11,859,5223
2004-06-14,978,6966
2004-06-16,134,1459
2004-06-18,236,5909
2004-06-21,462,6125
2004-06-23,206,5823
2004-06-25,814,0224
2004-06-28,837,8476
2004-06-30,902,4974
2004-07-01,597,8049
2004-07-02,670,7881
2004-07-05,543,3365
2004-07-06,879,8592
2004-07-07,342,1111
2004-07-08,994,4488
2004-07-09,765,4101
2004-07-12,018,1176
2004-07-13,821,3350
2004-07-14,498,7256
2004-07-15,632,1698
2004-07-16,240,5866
2004-07-19,562,7622
2004-07-20,931,0198
2004-07-21,590,6986
2004-07-22,078,4709
2004-07-23,998,1764
2004-07-26,883,9081
2004-07-27,166,6791
2004-07-28,973,4470
2004-07-29,109,0308
2004-07-30,223,2705
2004-08-02,286,8369
2004-08-03,844,5531
2004-08-04,843,0478
2004-08-05,970,1291
2004-08-06,112,5580
2004-08-09,451,3348
2004-08-10,480,8581
2004-08-11,955,8006
2004-08-12,497,7018
2004-08-13,822,8701
2004-08-16,383,0241
2004-08-17,611,6624
2004-08-18,005,7867
2004-08-19,281,5830
2004-08-20,114,6759
2004-08-23,066,0979
2004-08-24,200,0264
2004-08-25,717,0354
2004-08-26,983,6443
2004-08-27,558,0743
2004-08-30,601,4394
2004-08-31,512,1729
2004-09-01,525,8815
2004-09-02,355,2589
2004-09-03,489,4037
2004-09-06,905,9502
2004-09-07,632,1102
2004-09-08,463,9345
2004-09-09,782,9424
2004-09-10,808,1908
2004-09-13,921,4797
2004-09-14,190,8874
2004-09-15,593,5868
2004-09-16,234,5397
2004-09-17,621,5420
2004-09-20,934,2213
2004-09-21,812,5479
2004-09-22,540,1672
2004-09-23,522,9711
2004-09-24,206,9456
2004-09-27,374,7611
2004-09-28,638,6261
2004-09-29,804,8528
2004-09-30,187,2952
2004-10-01,374,4486
2004-10-04,835,1478
2004-10-05,945,3318
2004-10-06,949,6703
2004-10-07,391,6778
2004-10-08,355,1149
2004-10-11,697,3407
2004-10-12,620,4996
2004-10-13,670,1174
2004-10-14,189,1418
2004-10-15,266,1939
2004-10-18,876,4230
2004-10-19,335,5807
2004-10-20,064,1510
2004-10-21,499,8339
2004-10-22,490,6151
2004-10-25,945,7535
2004-10-26,234,0598
2004-10-27,353,9570
2004-10-28,660,6026
2004-10-29,754,7728
2004-11-01,638,7121
2004-11-02,699,9519
2004-11-03,819,6437
2004-11-04,295,9002
2004-11-05,742,1118
2004-11-08,400,0287
2004-11-09,638,1394
2004-11-10,299,4736
2004-11-11,545,4985
2004-11-12,196,8128
2004-11-15,667,4387
2004-11-16,582,7559
2004-11-17,306,7955
2004-11-18,684,6500
2004-11-19,798,6992
2004-11-22,094,5036
2004-11-23,701,1219
2004-11-24,065,3705
2004-11-25,392,2778
2004-11-26,588,7020
2004-11-29,925,4784
2004-11-30,189,2633
2004-12-01,940,7192
2004-12-02,133,0424
2004-12-03,288,2144
2004-12-06,301,7474
2004-12-07,966,0469
2004-12-08,616,5924
2004-12-09,363,5651
2004-12-10,662,7756
2004-12-13,310,2785
2004-12-14,609,7905
2004-12-15,869,7800
2004-12-16,377,2659
2004-12-17,279,5183
2004-12-20,799,0068
2004-12-21,344,6169
2004-12-22,082,7967
2004-12-23,824,0918
2004-12-24,095,9933
2004-12-27,625,1224
2004-12-28,497,6967
2004-12-29,213,1343
2004-12-30,815,6626
2005-01-04,902,7171
2005-01-05,227,6471
2005-01-06,429,0351
2005-01-07,784,8285
2005-01-10,576,8073
2005-01-11,055,3857
2005-01-12,275,8550
2005-01-13,137,6604
2005-01-14,536,4777
2005-01-17,809,8635
2005-01-18,328,8076
2005-01-19,423,6157
2005-01-20,780,7542
2005-01-21,026,9074
2005-01-24,369,6214
2005-01-25,526,4563
2005-01-26,465,1147
2005-01-27,968,5471
2005-01-28,218,3430
2005-01-31,807,9439
2005-02-01,287,8691
2005-02-02,997,9222
2005-02-03,313,0017
2005-02-04,800,3705
2005-02-07,601,9887
2005-02-08,742,8468
2005-02-09,738,2994
2005-02-10,754,8939
2005-02-11,196,1565
2005-02-14,453,7732
2005-02-15,793,4560
2005-02-16,556,2453
2005-02-17,533,7948
2005-02-18,058,1070
2005-02-21,419,4392
2005-02-22,063,4076
2005-02-23,379,2109
2005-02-24,928,6789
2005-02-25,613,0263
2005-02-28,917,9485
2005-03-01,212,4811
2005-03-02,887,0695
2005-03-03,970,8015
2005-03-04,707,8284
2005-03-07,412,3021
2005-03-08,603,1615
2005-03-09,578,9419
2005-03-10,266,7514
2005-03-11,384,0351
2005-03-14,680,1564
2005-03-15,087,5566
2005-03-16,776,6788
2005-03-17,387,6690
2005-03-18,319,1103
2005-03-21,729,0710
2005-03-22,963,3325
2005-03-23,751,1159
2005-03-24,948,9802
2005-03-25,235,9681
2005-03-28,686,2796
2005-03-29,857,7836
2005-03-30,786,2604
2005-03-31,716,8376
2005-04-01,084,0870
2005-04-04,567,7156
2005-04-05,414,4789
2005-04-06,482,7976
2005-04-07,507,3976
2005-04-08,215,2008
2005-04-11,350,7390
2005-04-12,776,1822
2005-04-13,043,7581
2005-04-14,400,3981
2005-04-15,190,3845
2005-04-18,629,2912
2005-04-19,841,7441
2005-04-20,073,0304
2005-04-21,942,8531
2005-04-22,203,3091
2005-04-25,560,0595
2005-04-26,788,4563
2005-04-27,530,1550
2005-04-28,178,2221
2005-04-29,589,7238
2005-05-02,459,4833
2005-05-03,250,9726
2005-05-04,222,7624
2005-05-05,781,0858
2005-05-06,614,7664
2005-05-09,973,0982
2005-05-10,378,2527
2005-05-11,453,4560
2005-05-12,542,6175
2005-05-13,241,8372
2005-05-16,565,8699
2005-05-17,182,1148
2005-05-18,016,5410
2005-05-19,204,1357
2005-05-20,529,0580
2005-05-23,827,2142
2005-05-24,660,9244
2005-05-25,597,0402
2005-05-26,917,3742
2005-05-27,835,3876
2005-05-30,659,1827
2005-05-31,392,4078
2005-06-01,634,4042
2005-06-02,363,9932
2005-06-03,327,1754
2005-06-06,042,4124
2005-06-07,100,6085
2005-06-08,920,3775
2005-06-09,287,2319
2005-06-10,217,3171
2005-06-13,709,3957
2005-06-14,885,8714
2005-06-15,368,6528
2005-06-16,769,3180
2005-06-17,351,0005
2005-06-20,097,8555
2005-06-21,671,8382
2005-06-22,402,3439
2005-06-23,378,6427
2005-06-24,377,4166
2005-06-27,065,6261
2005-06-28,095,1187
2005-06-29,747,4732
2005-06-30,395,2177
2005-07-01,332,1564
2005-07-04,146,7630
2005-07-05,899,3304
2005-07-06,885,9108
2005-07-07,762,5081
2005-07-08,382,5316
2005-07-11,964,1676
2005-07-12,312,7151
2005-07-13,382,2574
2005-07-14,318,8266
2005-07-15,430,3417
2005-07-18,922,0477
2005-07-19,441,2055
2005-07-20,261,6743
2005-07-21,465,6362
2005-07-22,861,3267
2005-07-25,448,5607
2005-07-26,347,2398
2005-07-27,726,9060
2005-07-28,720,2067
2005-07-29,319,2064
2005-08-01,424,2422
2005-08-02,482,6069
2005-08-03,943,5897
2005-08-04,934,8795
2005-08-05,977,5638
2005-08-08,929,5587
2005-08-09,168,2154
2005-08-10,368,1157
2005-08-11,607,0001
2005-08-12,660,9565
2005-08-15,626,9834
2005-08-16,755,3493
2005-08-17,486,8506
2005-08-18,868,0393
2005-08-19,077,5160
2005-08-22,509,1594
2005-08-23,980,6655
2005-08-24,644,6798
2005-08-25,451,0966
2005-08-26,501,7473
2005-08-29,787,5004
2005-08-30,439,4012
2005-08-31,060,2719
2005-09-01,948,0996
2005-09-02,917,6077
2005-09-05,792,3223
2005-09-06,353,3020
2005-09-07,057,6852
2005-09-08,633,2417
2005-09-09,722,9858
2005-09-12,775,0154
2005-09-13,839,6831
2005-09-14,059,5582
2005-09-15,975,7339
2005-09-16,638,5451
2005-09-19,927,9061
2005-09-20,784,0398
2005-09-21,198,1558
2005-09-22,896,6864
2005-09-23,823,2676
2005-09-26,554,4785
2005-09-27,138,4631
2005-09-28,783,4122
2005-09-29,852,5435
2005-09-30,542,4149
2005-10-03,571,7300
2005-10-04,193,9450
2005-10-05,928,3687
2005-10-06,616,3458
2005-10-07,026,9579
2005-10-10,968,2318
2005-10-11,175,7074
2005-10-12,990,6268
2005-10-13,871,6294
2005-10-14,673,3296
2005-10-17,269,6180
2005-10-18,448,6084
2005-10-19,288,1910
2005-10-20,775,1717
2005-10-21,650,4044
2005-10-24,832,9128
2005-10-25,741,0479
2005-10-26,237,3796
2005-10-27,797,3911
2005-10-28,461,6992
2005-10-31,453,6903
2005-11-01,015,5406
2005-11-02,097,1896
2005-11-03,918,7876
2005-11-04,357,5788
2005-11-07,559,2491
2005-11-08,180,0635
2005-11-09,538,2190
2005-11-10,906,7164
2005-11-11,808,8812
2005-11-14,639,5343
2005-11-15,948,3676
2005-11-16,893,6094
2005-11-17,533,0978
2005-11-18,047,9708
2005-11-21,844,2098
2005-11-22,678,3121
2005-11-23,469,4327
2005-11-24,449,4344
2005-11-25,924,6520
2005-11-28,759,9906
2005-11-29,855,9961
2005-11-30,104,0588
2005-12-01,463,1837
2005-12-02,477,6880
2005-12-05,692,5296
2005-12-06,803,9419
2005-12-07,280,7161
2005-12-08,101,2997
2005-12-09,347,6007
2005-12-12,846,8052
2005-12-13,792,4769
2005-12-14,610,3087
2005-12-15,161,4483
2005-12-16,257,2315
2005-12-19,028,1555
2005-12-20,033,4050
2005-12-21,863,9193
2005-12-22,164,0647
2005-12-23,616,6295
2005-12-26,916,8117
2005-12-27,836,1073
2005-12-28,646,6056
2005-12-29,908,0103
2005-12-30,062,8783
2006-01-04,266,7013
2006-01-05,998,8860
2006-01-06,119,9956
2006-01-09,674,9047
2006-01-10,897,8758
2006-01-11,733,4330
2006-01-12,675,9022
2006-01-13,433,1284
2006-01-16,771,6128
2006-01-17,884,4210
2006-01-18,801,8741
2006-01-19,503,6010
2006-01-20,916,9869
2006-01-23,846,7369
2006-01-24,188,2821
2006-01-25,979,9100
2006-01-26,293,8229
2006-01-27,562,5581
2006-01-30,021,7175
2006-01-31,696,2318
2006-02-01,870,2799
2006-02-02,634,2480
2006-02-03,092,5424
2006-02-06,086,2641
2006-02-07,559,8723
2006-02-08,571,0284
2006-02-09,029,7125
2006-02-10,064,1596
2006-02-13,148,8385
2006-02-14,358,2085
2006-02-15,399,0191
2006-02-16,901,0978
2006-02-17,484,9216
2006-02-20,606,6108
2006-02-21,433,3899
2006-02-22,131,2947
2006-02-23,455,8824
2006-02-24,965,5209
2006-02-27,743,2384
2006-02-28,617,5983
2006-03-01,755,7550
2006-03-02,679,2707
2006-03-03,643,0599
2006-03-06,032,3016
2006-03-07,431,3537
2006-03-08,050,5139
2006-03-09,259,2682
2006-03-10,331,7246
2006-03-13,831,9424
2006-03-14,321,4863
2006-03-15,164,7111
2006-03-16,020,7975
2006-03-17,435,7877
2006-03-20,790,0364
2006-03-21,955,4101
2006-03-22,645,9599
2006-03-23,323,3953
2006-03-24,678,3103
2006-03-27,740,6095
2006-03-28,794,6476
2006-03-29,619,4821
2006-03-30,853,2379
2006-03-31,261,3337
2006-04-03,630,7193
2006-04-04,028,7476
2006-04-05,439,7348
2006-04-06,587,6029
2006-04-07,829,8570
2006-04-10,748,3440
2006-04-11,490,1655
2006-04-12,483,8192
2006-04-13,575,6922
2006-04-14,372,3000
2006-04-17,575,8147
2006-04-18,273,4393
2006-04-19,115,8680
2006-04-20,872,1896
2006-04-21,036,5187
2006-04-24,422,2607
2006-04-25,913,5519
2006-04-26,940,7358
2006-04-27,528,3388
2006-04-28,326,9894
2006-05-01,686,5205
2006-05-02,735,8862
2006-05-03,049,7068
2006-05-04,861,7321
2006-05-05,074,7102
2006-05-08,387,0915
2006-05-09,212,3891
2006-05-10,694,5727
2006-05-11,994,8024
2006-05-12,176,3401
2006-05-15,109,7881
2006-05-16,423,2310
2006-05-17,694,4634
2006-05-18,299,1231
2006-05-19,908,5072
2006-05-22,493,8837
2006-05-23,962,9050
2006-05-24,287,4626
2006-05-25,941,8465
2006-05-26,598,0211
2006-05-29,873,3650
2006-05-30,293,7466
2006-05-31,896,3388
2006-06-01,792,8420
2006-06-02,198,2685
2006-06-05,173,1508
2006-06-06,850,1775
2006-06-07,795,8705
2006-06-08,858,8557
2006-06-09,640,8451
2006-06-12,269,4505
2006-06-13,178,9601
2006-06-14,333,8567
2006-06-15,862,2655
2006-06-16,612,8912
2006-06-19,696,8717
2006-06-20,127,4991
2006-06-21,691,5671
2006-06-22,150,3654
2006-06-23,572,0772
2006-06-26,420,3444
2006-06-27,980,3895
2006-06-28,567,6051
2006-06-29,618,6782
2006-06-30,218,2331
2006-07-03,878,2734
2006-07-04,878,1053
2006-07-05,117,6534
2006-07-06,095,8000
2006-07-07,890,7479
2006-07-10,236,1244
2006-07-11,926,9668
2006-07-12,299,1800
2006-07-13,675,4813
2006-07-14,702,9616
2006-07-17,733,2319
2006-07-18,544,7004
2006-07-19,847,7655
2006-07-20,973,1556
2006-07-21,496,9217
2006-07-24,638,4074
2006-07-25,806,4717
2006-07-26,666,4658
2006-07-27,129,4635
2006-07-28,190,3807
2006-07-31,141,3960
2006-08-01,742,4993
2006-08-02,674,3562
2006-08-03,558,4533
2006-08-04,914,4159
2006-08-07,076,2091
2006-08-08,528,8911
2006-08-09,051,2883
2006-08-10,932,1700
2006-08-11,172,9714
2006-08-14,370,7717
2006-08-15,647,6702
2006-08-16,269,5998
2006-08-17,924,5121
2006-08-18,183,5151
2006-08-21,856,4737
2006-08-22,273,4868
2006-08-23,937,6354
2006-08-24,656,5141
2006-08-25,924,0695
2006-08-28,321,4546
2006-08-29,374,2595
2006-08-30,845,0275
2006-08-31,535,0774
2006-09-01,899,6275
2006-09-04,349,9587
2006-09-05,874,0385
2006-09-06,104,5430
2006-09-07,522,3430
2006-09-08,815,6840
2006-09-11,892,6796
2006-09-12,859,3708
2006-09-13,468,1128
2006-09-14,062,9222
2006-09-15,019,7660
2006-09-18,121,2311
2006-09-19,955,6004
2006-09-20,918,6930
2006-09-21,586,6120
2006-09-22,875,7937
2006-09-25,402,7674
2006-09-26,161,3850
2006-09-27,898,9586
2006-09-28,890,0462
2006-09-29,448,2560
2006-10-02,633,6015
2006-10-03,461,4186
2006-10-04,757,0295
2006-10-05,924,8490
2006-10-06,813,1860
2006-10-09,113,4335
2006-10-10,874,4156
2006-10-11,402,3375
2006-10-12,595,5511
2006-10-13,887,2939
2006-10-16,559,0994
2006-10-17,700,3620
2006-10-18,236,4667
2006-10-19,113,2713
2006-10-20,703,7749
2006-10-23,243,3282
2006-10-24,286,6359
2006-10-25,440,9959
2006-10-26,483,9896
2006-10-27,850,5932
2006-10-30,588,2812
2006-10-31,121,4239
2006-11-01,855,0991
2006-11-02,679,8283
2006-11-03,303,9661
2006-11-06,992,0686
2006-11-07,713,6120
2006-11-08,630,5517
2006-11-09,663,7783
2006-11-10,368,9664
2006-11-13,972,7181
2006-11-14,131,1422
2006-11-15,861,8555
2006-11-16,432,9349
2006-11-17,414,1583
2006-11-20,312,6285
2006-11-21,192,0618
2006-11-22,460,0843
2006-11-23,092,1646
2006-11-24,395,1201
2006-11-27,697,9985
2006-11-28,359,7994
2006-11-29,042,9357
2006-11-30,826,3804
2006-12-01,533,6788
2006-12-04,407,9909
2006-12-05,675,6765
2006-12-06,455,1957
2006-12-07,198,7838
2006-12-08,058,0956
2006-12-11,719,9338
2006-12-12,692,4857
2006-12-13,049,0576
2006-12-14,555,8514
2006-12-15,536,3396
2006-12-18,649,5943
2006-12-19,808,4717
2006-12-20,652,5148
2006-12-21,778,2972
2006-12-22,833,5375
2006-12-25,218,4381
2006-12-26,258,4193
2006-12-27,824,5823
2006-12-28,129,1784
2006-12-29,061,7358
2007-01-04,090,9664
2007-01-05,942,0133
2007-01-08,726,7311
2007-01-09,522,4634
2007-01-10,949,8385
2007-01-11,438,1344
2007-01-12,305,0139
2007-01-15,847,6426
2007-01-16,581,8592
2007-01-17,908,4286
2007-01-18,580,0446
2007-01-19,900,1294
2007-01-22,440,6045
2007-01-23,325,7982
2007-01-24,567,2703
2007-01-25,537,2892
2007-01-26,810,0146
2007-01-29,525,4052
2007-01-30,574,5440
2007-01-31,311,8799
2007-02-01,624,8999
2007-02-02,594,5022
2007-02-05,412,1215
2007-02-06,815,6616
2007-02-07,539,7084
2007-02-08,874,9176
2007-02-09,008,7848
2007-02-12,842,2871
2007-02-13,268,4071
2007-02-14,315,2933
2007-02-15,453,8253
2007-02-16,519,0969
2007-02-19,449,6518
2007-02-20,027,1299
2007-02-21,240,6929
2007-02-22,705,3109
2007-02-23,939,2410
2007-02-26,964,7546
2007-02-27,160,2706
2007-02-28,172,0666
2007-03-01,378,0497
2007-03-02,308,5486
2007-03-05,321,1501
2007-03-06,477,0625
2007-03-07,974,4478
2007-03-08,417,3036
2007-03-09,938,0581
2007-03-12,415,2675
2007-03-13,403,2356
2007-03-14,971,6738
2007-03-15,977,4861
2007-03-16,231,4738
2007-03-19,732,3876
2007-03-20,149,9316
2007-03-21,550,5973
2007-03-22,334,3840
2007-03-23,034,4432
2007-03-26,632,8069
2007-03-27,707,4874
2007-03-28,001,3877
2007-03-29,984,4022
2007-03-30,771,4007
2007-04-02,746,4619
2007-04-03,330,6115
2007-04-04,121,1929
2007-04-05,368,9662
2007-04-06,379,2361
2007-04-09,266,0669
2007-04-10,646,3357
2007-04-11,165,6857
2007-04-12,715,5404
2007-04-13,183,7238
2007-04-16,223,0416
2007-04-17,974,6030
2007-04-18,621,7532
2007-04-19,519,7269
2007-04-20,926,3479
2007-04-23,301,3884
2007-04-24,456,8277
2007-04-25,123,6356
2007-04-26,157,6749
2007-04-27,306,4414
2007-04-30,701,6995
2007-05-01,654,6839
2007-05-02,399,1404
2007-05-03,231,4081
2007-05-04,172,6207
2007-05-07,302,6922
2007-05-08,827,4550
2007-05-09,936,4137
2007-05-10,466,9502
2007-05-11,725,1605
2007-05-14,594,6818
2007-05-15,716,2821
2007-05-16,178,3107
2007-05-17,544,4620
2007-05-18,826,2273
2007-05-21,522,2209
2007-05-22,803,6407
2007-05-23,821,1770
2007-05-24,407,0531
2007-05-25,353,2696
2007-05-28,642,4612
2007-05-29,428,1485
2007-05-30,156,6480
2007-05-31,386,2184
2007-06-01,392,0592
2007-06-04,242,1917
2007-06-05,556,0521
2007-06-06,045,7955
2007-06-07,405,5019
2007-06-08,032,9909
2007-06-11,642,6509
2007-06-12,135,2909
2007-06-13,560,9060
2007-06-14,989,3097
2007-06-15,236,8751
2007-06-18,222,5059
2007-06-19,584,9595
2007-06-20,791,2502
2007-06-21,106,8936
2007-06-22,757,3488
2007-06-25,859,8594
2007-06-26,925,0173
2007-06-27,482,1519
2007-06-28,278,5088
2007-06-29,453,3706
2007-07-02,447,0454
2007-07-03,656,9842
2007-07-04,012,5883
2007-07-05,055,8254
2007-07-06,128,9969
2007-07-09,591,0965
2007-07-10,170,8491
2007-07-11,778,3104
2007-07-12,586,4661
2007-07-13,867,5661
2007-07-16,864,7579
2007-07-17,398,5599
2007-07-18,752,4051
2007-07-19,600,4908
2007-07-20,089,3198
2007-07-23,857,0868
2007-07-24,287,6097
2007-07-25,938,6731
2007-07-26,818,5625
2007-07-27,391,7478
2007-07-30,254,6469
2007-07-31,971,9471
2007-08-01,931,9585
2007-08-02,498,6082
2007-08-03,509,6368
2007-08-06,318,2267
2007-08-07,081,9718
2007-08-08,112,5598
2007-08-09,987,7433
2007-08-10,189,2886
2007-08-13,700,0824
2007-08-14,035,7777
2007-08-15,478,0979
2007-08-16,822,1140
2007-08-17,703,5347
2007-08-20,975,6457
2007-08-21,912,8871
2007-08-22,730,9355
2007-08-23,152,8000
2007-08-24,830,9664
2007-08-27,494,7152
2007-08-28,239,8578
2007-08-29,678,0788
2007-08-30,585,1060
2007-08-31,387,1987
2007-09-03,353,4977
2007-09-04,626,3102
2007-09-05,677,8338
2007-09-06,571,0863
2007-09-07,150,6978
2007-09-10,400,8137
2007-09-11,092,8519
2007-09-12,198,9991
2007-09-13,169,6865
2007-09-14,618,2577
2007-09-17,755,5188
2007-09-18,233,1720
2007-09-19,673,1269
2007-09-20,145,1237
2007-09-21,461,0368
2007-09-24,938,3882
2007-09-25,762,8852
2007-09-26,691,8128
2007-09-27,842,3376
2007-09-28,009,2293
2007-10-01,644,9648
2007-10-02,809,3409
2007-10-03,958,2294
2007-10-04,863,4164
2007-10-05,236,4218
2007-10-08,525,5960
2007-10-09,744,4633
2007-10-10,884,7329
2007-10-11,785,9865
2007-10-12,561,5667
2007-10-15,278,5551
2007-10-16,864,2278
2007-10-17,757,1477
2007-10-18,832,4005
2007-10-19,966,5549
2007-10-22,604,5446
2007-10-23,171,3083
2007-10-24,391,3330
2007-10-25,614,1075
2007-10-26,685,7482
2007-10-29,130,1324
2007-10-30,079,3379
2007-10-31,675,2135
2007-11-01,038,6590
2007-11-02,254,9440
2007-11-05,018,4644
2007-11-06,928,9947
2007-11-07,418,0502
2007-11-08,955,4181
2007-11-09,409,3150
2007-11-12,638,5726
2007-11-13,334,7143
2007-11-14,785,7919
2007-11-15,892,5932
2007-11-16,679,4035
2007-11-19,762,2172
2007-11-20,652,9862
2007-11-21,145,1209
2007-11-22,013,1542
2007-11-23,601,7598
2007-11-26,781,6653
2007-11-27,395,8762
2007-11-28,373,6712
2007-11-29,361,9001
2007-11-30,326,9485
2007-12-03,469,2667
2007-12-04,517,9244
2007-12-05,515,3764
2007-12-06,426,4047
2007-12-07,306,7119
2007-12-10,839,9159
2007-12-11,943,3182
2007-12-12,580,0734
2007-12-13,033,1145
2007-12-14,579,5519
2007-12-17,888,7384
2007-12-18,761,8568
2007-12-19,896,5787
2007-12-20,538,2383
2007-12-21,958,9253
2007-12-24,768,1778
2007-12-25,294,3465
2007-12-26,304,8293
2007-12-27,715,1984
2007-12-28,182,3283
2008-01-04,029,5987
2008-01-07,965,2178
2008-01-08,682,0591
2008-01-09,443,9809
2008-01-10,972,6910
2008-01-11,900,0284
2008-01-14,978,8922
2008-01-15,651,0972
2008-01-16,178,6190
2008-01-17,810,1912
2008-01-18,066,4439
2008-01-21,875,7676
2008-01-22,297,7052
2008-01-23,390,0783
2008-01-24,018,1691
2008-01-25,004,4818
2008-01-28,982,6273
2008-01-29,488,4160
2008-01-30,514,9193
2008-01-31,309,5872
2008-02-01,170,2824
2008-02-04,122,2557
2008-02-05,699,3316
2008-02-06,745,0157
2008-02-07,014,9924
2008-02-08,086,7385
2008-02-11,014,3884
2008-02-12,610,2341
2008-02-13,569,7694
2008-02-14,705,4796
2008-02-15,435,5087
2008-02-18,599,8289
2008-02-19,802,0173
2008-02-20,215,2254
2008-02-21,276,9188
2008-02-22,175,3618
2008-02-25,128,7946
2008-02-26,472,1367
2008-02-27,348,6130
2008-02-28,956,7648
2008-02-29,616,0624
2008-03-03,648,3834
2008-03-04,199,0613
2008-03-05,022,1126
2008-03-06,858,1653
2008-03-07,842,6861
2008-03-10,686,8004
2008-03-11,685,0784
2008-03-12,633,8622
2008-03-13,139,8020
2008-03-14,317,9684
2008-03-17,281,9418
2008-03-18,440,6149
2008-03-19,240,2620
2008-03-20,418,2643
2008-03-21,411,6944
2008-03-24,048,8297
2008-03-25,849,9453
2008-03-26,022,7898
2008-03-27,631,0726
2008-03-28,197,7048
2008-03-31,909,4330
2008-04-01,401,5480
2008-04-02,601,3868
2008-04-03,279,6359
2008-04-04,889,4121
2008-04-07,457,1577
2008-04-08,478,6316
2008-04-09,412,9594
2008-04-10,499,9647
2008-04-11,946,9077
2008-04-14,422,2677
2008-04-15,165,0169
2008-04-16,230,5846
2008-04-17,237,8423
2008-04-18,617,8341
2008-04-21,668,6648
2008-04-22,679,6870
2008-04-23,621,2635
2008-04-24,774,1106
2008-04-25,117,9434
2008-04-28,670,8137
2008-04-29,212,5048
2008-04-30,724,5249
2008-05-01,162,7524
2008-05-02,751,5818
2008-05-05,779,4684
